Gene	H37-H37002-BG002179-ar-BG002179.quant.sf	H37-H37002-BG004281-ar-BG004281.quant.sf
5_8S_rRNA	6.392994	8.1747
5S_rRNA	0	0
7SK	0	0
A1BG	3.366134	4.701013
A1BG-AS1	1.846409	2.053355
A1CF	10.916016	15.888826
A2M	547.144276	537.922972
A2M-AS1	3.251177	1.027741
A2ML1	0.031313	0.154662
A2ML1-AS1	0	0
A2ML1-AS2	0	0
A2MP1	0	0
A3GALT2	0.047453	0.427495
A4GALT	12.757608	19.08317
A4GNT	0.049112	0
AA06	0	0
AAAS	22.27899	31.940504
AACS	24.251041	14.314536
AACSP1	0	0
AADAC	37.293886	15.752731
AADACL2	0	0
AADACL2-AS1	0	0
AADACL3	0.021258	0
AADACL4	0.042401	0
AADACP1	3.030581	1.240673
AADAT	8.71257	8.388655
AAGAB	111.730888	60.383529
AAK1	92.322666	73.407642
AAMDC	51.478237	36.659537
AAMP	78.049753	82.517322
AANAT	0	0
AAR2	19.683293	22.986762
AARD	0.481205	0.028036
AARS1	95.096018	83.885176
AARS1P1	0	0
AARS2	7.404121	10.405238
AARSD1	29.247894	42.902663
AARSD1P1	0.039673	0
AASDH	28.148306	17.621023
AASDHPPT	26.132975	17.97042
AASS	45.065046	27.999481
AATBC	0	0
AATF	40.593077	52.390065
AATK	6.005444	6.711851
ABALON	0.022755	0.37867
ABAT	9.751464	8.698686
ABBA01000933.1	0	0
ABBA01000935.2	0	0.094463
ABBA01006766.1	0	0
ABBA01045074.1	0	0
ABBA01045074.2	0	0
ABCA1	94.926824	40.955512
ABCA10	11.953978	3.590594
ABCA11P	2.011793	0.614379
ABCA12	0.321823	2.899181
ABCA13	0.965668	1.849632
ABCA17P	0	0
ABCA2	42.033014	72.218992
ABCA3	12.652049	22.715201
ABCA4	0.129764	0.249844
ABCA5	30.202858	11.759896
ABCA6	60.205999	34.775548
ABCA7	20.272848	13.67962
ABCA8	58.846252	49.213007
ABCA9	18.490676	7.427062
ABCA9-AS1	0	0
ABCB1	24.666952	5.919365
ABCB10	17.674291	15.175224
ABCB10P1	0	0
ABCB10P3	0	0
ABCB10P4	0	0
ABCB11	0.194608	0.153781
ABCB4	7.516191	5.945637
ABCB5	13.736309	0.091394
ABCB6	12.369156	18.497287
ABCB7	46.50673	53.382891
ABCB8	21.211121	17.692168
ABCB9	2.698812	2.944138
ABCC1	61.775326	40.024512
ABCC10	12.515295	13.013337
ABCC11	0.196072	0.439503
ABCC12	0	0.16976
ABCC13	0	0
ABCC2	2.473179	3.172826
ABCC3	77.147318	155.978073
ABCC4	24.107544	20.986386
ABCC5	61.232598	62.289606
ABCC5-AS1	0	0
ABCC6	3.301964	7.185323
ABCC6P1	0	0.132211
ABCC6P2	0	0.927289
ABCC8	0.205621	0.757756
ABCC9	33.322748	84.261653
ABCD1	8.256546	9.8196
ABCD1P2	0	0
ABCD1P3	0	0
ABCD1P4	0	0
ABCD1P5	0	0
ABCD2	1.76614	1.973121
ABCD3	52.865066	42.245357
ABCD4	39.084515	26.994413
ABCE1	76.293082	54.205659
ABCF1	23.792405	30.543531
ABCF2	7.468613	7.038283
ABCF2-H2BE1	15.439883	12.144251
ABCF2P1	0	0
ABCF2P2	0	0
ABCF3	41.898483	60.203401
ABCG1	34.141307	18.044545
ABCG2	3.481295	2.694877
ABCG4	0.267097	0.048686
ABCG5	0.16611	0.253554
ABCG8	0.049695	0.041988
ABHD1	0.56893	1.160247
ABHD10	39.19145	33.660989
ABHD11	38.636006	47.176696
ABHD11-AS1	0	0
ABHD12	45.483562	45.240294
ABHD12B	0	0
ABHD13	40.843954	25.760203
ABHD14A	7.323011	11.844972
ABHD14A-ACY1	0.703115	0.65876
ABHD14B	24.730255	28.542294
ABHD15	11.144091	11.983785
ABHD15-AS1	0	0
ABHD16A	20.276829	34.286506
ABHD16B	0.060173	0
ABHD17A	8.575332	20.180456
ABHD17AP1	0.053762	0.160884
ABHD17AP3	0.041418	0
ABHD17AP4	0.055841	0
ABHD17AP5	0	0
ABHD17AP6	0	0
ABHD17AP7	0	0
ABHD17AP8	0	0
ABHD17AP9	0	0
ABHD17B	16.869045	13.371952
ABHD17C	201.534732	88.896591
ABHD18	30.337115	27.325894
ABHD2	453.204327	188.320586
ABHD3	34.191772	27.211664
ABHD4	22.09973	20.982887
ABHD5	49.176459	22.070546
ABHD6	23.673355	11.860499
ABHD8	4.247348	6.696296
ABI1	124.253884	101.240995
ABI1P1	0	0
ABI2	98.305172	41.579251
ABI3	6.365172	8.939198
ABI3BP	132.089824	308.749315
ABITRAM	48.927352	25.6213
ABITRAMP1	0	0
ABL1	89.992891	59.980503
ABL2	104.74557	48.328578
ABLIM1	100.764283	104.814927
ABLIM2	11.786737	30.205749
ABLIM3	34.576373	15.216614
ABO	23.337425	17.313842
ABR	100.414595	126.093997
ABRA	0.181639	0.964008
ABRACL	68.436971	94.884781
ABRAXAS1	17.773371	10.479204
ABRAXAS2	33.300855	27.576006
ABT1	13.793092	19.532984
ABT1P1	0	0
ABTB1	25.190631	25.168026
ABTB2	5.574997	5.207644
AC000032.1	0	0
AC000035.1	0	0
AC000036.1	0	0
AC000041.1	0	45.248248
AC000050.1	0	0
AC000058.1	0	0
AC000061.1	0	0
AC000065.1	0	0
AC000065.2	0	0
AC000067.1	0	0
AC000068.1	0.265368	0
AC000068.2	0.154628	0
AC000068.3	0	0
AC000072.1	0	0
AC000077.1	0	0
AC000078.1	0	0
AC000081.1	0	0
AC000081.2	0	0
AC000082.1	0	0
AC000085.1	0	0
AC000089.1	0.653429	0.68306
AC000093.1	0.911261	1.074938
AC000095.1	0	0.087006
AC000095.2	0	0
AC000111.1	0	0
AC000111.2	0	0
AC000113.1	0	0
AC000120.1	0	0
AC000120.2	0.29826	0.332913
AC000120.3	31.035199	25.827653
AC000123.1	0	0
AC000123.2	0	0
AC000123.3	0.016156	0.012276
AC000124.1	0	0
AC000362.1	0	0
AC000367.1	0	0
AC000372.1	0	0
AC000374.1	0	0
AC000403.1	0	0
AC001226.1	0	0
AC001226.2	0.535325	0.381728
AC002044.1	0	0
AC002044.2	0.101542	0.152309
AC002044.3	0	0
AC002056.1	0	0
AC002056.2	0	0
AC002057.1	0	0
AC002057.2	0	0
AC002059.1	0	0
AC002059.2	0	0
AC002059.3	0	0
AC002064.1	0	0
AC002064.2	0	0
AC002064.3	0	0
AC002066.1	0	0
AC002069.1	0	0
AC002069.2	0	0
AC002069.3	0	0
AC002069.4	0	0
AC002070.1	0	0
AC002072.1	0	0
AC002074.1	0	0
AC002074.2	0	0
AC002075.1	0	0
AC002075.2	0	0
AC002076.1	0	0
AC002090.1	0	0
AC002091.1	0	0
AC002091.2	0	0
AC002094.1	2.909871	5.28947
AC002094.2	0	0
AC002094.3	0	0
AC002094.4	0	0
AC002094.5	0	0
AC002101.1	0	0
AC002115.1	0	0
AC002116.1	0	1.420391
AC002116.2	2.411193	5.561004
AC002127.1	0	0
AC002128.1	0	0.071861
AC002128.2	0	0
AC002306.1	0	0
AC002310.1	1.39045	0.369158
AC002310.2	0.208362	0.387826
AC002310.3	0	0
AC002310.4	0	0
AC002310.5	0	0
AC002331.1	0	0
AC002347.1	0	0
AC002347.2	0	0
AC002350.1	0	0
AC002350.2	0.142868	0.756226
AC002351.1	0	0
AC002368.1	0	0
AC002375.1	0	0
AC002377.1	0	0
AC002378.1	0	0
AC002381.1	0	0
AC002383.1	0	0
AC002386.1	0	0
AC002398.1	0	0
AC002398.2	0.343664	0
AC002401.1	0	0
AC002401.2	0	0
AC002401.3	0	0
AC002401.4	0	0
AC002407.1	0	0
AC002428.1	0	0
AC002428.2	0	0
AC002429.1	0	0
AC002451.1	0	0
AC002451.2	0	0
AC002456.1	0	0
AC002456.2	0	0
AC002458.1	0	0
AC002460.1	0	0
AC002460.2	0	0
AC002463.1	0	0
AC002464.1	0	0
AC002465.1	0	0
AC002467.1	0.112839	0
AC002470.1	0	0
AC002470.2	0.107202	0.100237
AC002472.1	0	0
AC002472.2	0.242937	0.077361
AC002472.3	0	0
AC002472.4	0	0
AC002480.1	0.017332	0
AC002480.2	0	0
AC002486.1	0	0
AC002486.2	0	0
AC002487.1	0	0
AC002511.1	0	0
AC002511.2	0	0
AC002511.3	0	0
AC002519.1	0	0
AC002519.2	0	0
AC002525.1	0	0
AC002529.1	0	0
AC002540.1	0	0
AC002542.1	0	0
AC002542.2	0	0
AC002542.3	0	0
AC002542.4	0	0
AC002542.5	0	0
AC002542.6	0	0
AC002543.1	0	0
AC002545.1	0	0
AC002546.1	0	0
AC002550.1	0	0
AC002550.2	0	0
AC002551.1	0	0
AC002553.1	0	0
AC002553.2	0	0
AC002558.1	0.781461	0.389025
AC002558.2	0	0
AC002558.3	0.069498	0
AC002563.1	0	0
AC002984.1	0	0
AC002985.1	0	0
AC002996.1	4.433066	4.146873
AC003001.1	0	0
AC003001.2	0	0
AC003002.1	0	0
AC003002.2	0	0
AC003002.3	0.124905	0.39817
AC003005.1	0	0.52382
AC003005.2	0	0
AC003006.1	6.87876	12.70142
AC003009.1	0	0
AC003035.1	0	0
AC003035.2	0	0
AC003043.1	0	0
AC003043.2	0	0
AC003044.1	0	0
AC003070.1	0	0
AC003070.2	0	0
AC003071.1	0	0
AC003072.1	0	0
AC003072.2	0	0
AC003077.1	0.015478	0
AC003080.1	0.069347	0.206869
AC003084.1	0	0
AC003086.1	0	0
AC003087.1	0	0
AC003092.1	0	0
AC003092.2	0	0
AC003093.1	0	0
AC003098.1	0	0
AC003101.1	0	0
AC003101.2	0	0
AC003101.3	0	0
AC003102.1	0.479762	0.317922
AC003109.1	0	0
AC003657.1	0	0
AC003659.1	0	0
AC003666.1	0	0
AC003669.1	0	0
AC003681.1	0.001591	0.004842
AC003682.1	0	0
AC003684.1	0	0
AC003685.1	0	0
AC003686.1	0	0
AC003687.1	0	0
AC003688.1	0	0
AC003688.2	0	0
AC003950.1	0	0
AC003956.1	0	0
AC003957.1	0	0
AC003958.1	0	0
AC003958.2	0.010461	0
AC003965.1	0	0
AC003965.2	0	0
AC003973.1	0	0
AC003973.2	0	0
AC003975.1	0	0
AC003982.1	0	0
AC003984.1	0	0
AC003985.1	0	0
AC003986.1	0	0
AC003986.2	0	0
AC003986.3	0	0
AC003988.1	0	0
AC003989.1	0	0
AC003989.2	0	0
AC003991.1	0.063196	0
AC003992.1	0	0
AC004000.1	0.172935	0
AC004004.1	0	0
AC004006.1	0	0
AC004009.1	0.064252	0
AC004009.2	0	0
AC004009.3	0	0
AC004012.1	0	0
AC004014.1	0	0
AC004014.2	0	0
AC004022.1	0	0
AC004022.2	0	0
AC004023.1	0	0
AC004024.1	0	0
AC004034.1	0	0.756629
AC004039.1	0	0
AC004047.1	0	0
AC004052.1	0	0
AC004053.1	0	0
AC004054.1	0	0
AC004057.1	33.918773	36.430273
AC004062.1	0	0
AC004063.1	0	0
AC004066.1	0	0
AC004067.1	0	0
AC004069.1	0	0
AC004069.2	0	0
AC004069.3	0	0
AC004076.1	0.106959	0
AC004076.2	0	0
AC004079.1	0	0
AC004079.2	0	0
AC004079.3	0	0
AC004079.4	0	0
AC004079.5	0	0
AC004080.1	0	0.210585
AC004080.10	0	0
AC004080.11	0	0
AC004080.12	0	0
AC004080.13	0	0
AC004080.14	0	0
AC004080.15	0	0
AC004080.16	0	0
AC004080.17	0	0
AC004080.2	0	0
AC004080.3	0.282139	0.90758
AC004080.4	0	0
AC004080.5	0.239196	0
AC004080.6	0	0
AC004080.7	0	0
AC004080.8	0	0
AC004080.9	0	0
AC004083.1	0	0
AC004112.1	0	0
AC004125.1	0	0
AC004129.1	0	0
AC004129.2	0	0
AC004129.3	0	0
AC004130.1	0	0
AC004130.2	0	0
AC004134.1	0	0
AC004147.1	0	0
AC004147.2	0	0
AC004147.3	0	0
AC004147.4	0	0
AC004147.5	0	0
AC004148.1	0.245229	0.101193
AC004156.1	0	0.018794
AC004158.1	0	0
AC004160.1	0.617842	0.107415
AC004160.2	0	0.161587
AC004217.1	0	0
AC004217.2	0	0
AC004221.1	0	0
AC004223.1	0	0
AC004223.2	0	0
AC004223.3	0	0
AC004223.4	0	0
AC004224.1	0	0
AC004224.2	0	0
AC004231.1	0.063825	0
AC004231.3	0	0
AC004232.1	0	0
AC004232.2	0	0
AC004233.1	0	0
AC004233.2	0	0
AC004233.3	0	0
AC004241.1	0.292654	0.206779
AC004241.2	0	0
AC004241.3	0	0
AC004241.4	0	0
AC004241.5	0	0
AC004253.1	0	0
AC004253.2	0	0
AC004257.1	0	0
AC004263.1	0	0
AC004263.2	0.035994	0.054532
AC004264.1	0.198387	0.789845
AC004264.2	0	0
AC004381.1	0	0
AC004381.2	0	0
AC004381.3	0	0
AC004381.4	0	0
AC004386.1	0	0
AC004386.2	0	0
AC004386.3	0	0
AC004386.4	0	0
AC004386.5	0	0
AC004386.6	0	0
AC004408.1	0	0.314514
AC004408.2	0	0
AC004415.1	0	0
AC004448.1	0	0
AC004448.2	0	0
AC004448.3	0	0
AC004448.4	0	0
AC004448.5	0	0
AC004449.1	0	0
AC004453.1	0	0
AC004461.1	0	0
AC004461.2	0.130243	0
AC004464.1	0	0
AC004466.1	1.37441	0.999485
AC004466.2	0	0
AC004466.3	0.115194	0
AC004467.1	0	0
AC004470.1	0	0
AC004470.2	0	0
AC004471.1	0	0
AC004471.2	0	0
AC004477.1	0	0
AC004477.2	0	0
AC004485.1	0	0
AC004486.1	0	0
AC004490.1	0	0
AC004491.1	0.046082	0.034854
AC004492.1	0	0
AC004494.1	0.375314	0.091061
AC004494.2	0.062276	0
AC004510.1	0	0
AC004510.2	0	0
AC004522.1	0	0
AC004522.2	0	0
AC004522.3	0	0
AC004522.4	0	0
AC004522.5	0	0
AC004528.1	0	0
AC004528.2	0	0
AC004540.1	0	0
AC004540.2	0.841037	0.170678
AC004542.1	0	0
AC004542.2	0	0
AC004542.3	0	0
AC004542.4	0	0
AC004542.5	0	0
AC004542.6	0	0
AC004543.1	0	0
AC004549.1	0	0
AC004551.1	0	0
AC004554.1	0	0
AC004584.1	0	0
AC004584.2	0	0
AC004584.3	0	0
AC004585.1	0	0
AC004585.2	0	0
AC004590.1	0	0
AC004593.1	0	0
AC004593.2	0.20508	0.021311
AC004594.1	0	0
AC004596.1	0	0
AC004597.1	0	0
AC004623.1	0	0
AC004636.1	0	0
AC004637.1	0	0
AC004672.1	0	0
AC004672.2	0	0
AC004674.1	0	0
AC004678.1	0.590422	1.367468
AC004678.2	0.146143	0
AC004687.1	0	0.082284
AC004687.2	3.83776	4.293052
AC004687.3	0	0
AC004690.1	0	0
AC004690.2	0	0
AC004691.1	0	0
AC004691.2	0.171938	0.091118
AC004692.1	0	0
AC004692.2	0	0
AC004696.1	0	0
AC004696.2	0	0
AC004702.1	0	0
AC004704.1	0	0
AC004704.2	0	0
