cancer_code,fusion_family,gene_5prime,gene_5prime_family,gene_5prime_ensembl_id,gene_3prime,gene_3prime_family,gene_3prime_ensembl_id,frequency,is_defining,pathognomonic,rnaseq_detectable,mechanism,confidence,pmid,notes
SARC_EWS,EWSR1-ETS,EWSR1,FET,ENSG00000182944,FLI1,ETS,ENSG00000151702,~85%,true,true,yes,fusion_transcript,high,PMID:1522903,Ewing sarcoma; t(11;22)(q24;q12); most common partner
SARC_EWS,EWSR1-ETS,EWSR1,FET,ENSG00000182944,ERG,ETS,ENSG00000157554,~10%,true,true,yes,fusion_transcript,high,PMID:8162068,t(21;22)(q22;q12); second most common ETS partner
SARC_EWS,EWSR1-ETS,EWSR1,FET,ENSG00000182944,ETV1,ETS,ENSG00000006468,rare,true,true,yes,fusion_transcript,medium,PMID:7700648,rare ETS variant fusion
SARC_EWS,EWSR1-ETS,EWSR1,FET,ENSG00000182944,ETV4,ETS,ENSG00000175832,rare,true,true,yes,fusion_transcript,medium,PMID:9858836,rare ETS variant fusion (also called E1AF)
SARC_EWS,EWSR1-ETS,EWSR1,FET,ENSG00000182944,FEV,ETS,ENSG00000163497,rare,true,true,yes,fusion_transcript,medium,PMID:9121764,rare ETS variant fusion
SARC_EWS,FUS-ETS,FUS,FET,ENSG00000089280,ERG,ETS,ENSG00000157554,rare,true,true,yes,fusion_transcript,medium,PMID:12907633,FET-family alternative (FUS instead of EWSR1)
SARC_SYN,SS18-SSX,SS18,,ENSG00000141380,SSX1,SSX,ENSG00000126752,~65%,true,true,yes,fusion_transcript,high,PMID:7951320,synovial sarcoma; t(X;18)(p11;q11); SSX1 more common in biphasic
SARC_SYN,SS18-SSX,SS18,,ENSG00000141380,SSX2,SSX,ENSG00000241476,~35%,true,true,yes,fusion_transcript,high,PMID:7951320,SSX2 tends monophasic
SARC_SYN,SS18-SSX,SS18,,ENSG00000141380,SSX4,SSX,ENSG00000268009,rare,true,true,yes,fusion_transcript,medium,PMID:10359553,rare third partner
SARC_DSRCT,EWSR1-WT1,EWSR1,FET,ENSG00000182944,WT1,zinc-finger TF,ENSG00000184937,~95%,true,true,yes,fusion_transcript,high,PMID:8187063,desmoplastic small round cell tumor; t(11;22)(p13;q12)
SARC_ASPS,ASPSCR1-TFE3,ASPSCR1,,ENSG00000169696,TFE3,MiT/TFE,ENSG00000068323,~95%,true,false,surrogate,fusion_transcript,high,PMID:11244503,alveolar soft part sarcoma; der(17)t(X;17); ASPL=ASPSCR1; TFE3 IHC surrogate
