Family,Child_Code,Symbol,Ensembl_Gene_ID,Direction
SQUAMOUS,BRCA_BASAL,SCGB2A2,ENSG00000110484,high
SQUAMOUS,BRCA_BASAL,SCGB2A1,ENSG00000124939,high
SQUAMOUS,BRCA_BASAL,SCGB1D2,ENSG00000124935,high
SQUAMOUS,BRCA_BASAL,FOXA1,ENSG00000129514,high
SQUAMOUS,BRCA_BASAL,GATA3,ENSG00000107485,high
SQUAMOUS,BRCA_BASAL,MUCL1,ENSG00000172551,high
SQUAMOUS,BRCA_BASAL,MLPH,ENSG00000115648,high
SQUAMOUS,BRCA_BASAL,ANKRD30A,ENSG00000148513,high
SQUAMOUS,BLCA_BASAL,UPK1A,ENSG00000105668,high
SQUAMOUS,BLCA_BASAL,UPK1B,ENSG00000114638,high
SQUAMOUS,BLCA_BASAL,UPK2,ENSG00000110375,high
SQUAMOUS,BLCA_BASAL,UPK3A,ENSG00000100373,high
SQUAMOUS,BLCA_BASAL,UPK3B,ENSG00000243566,high
SQUAMOUS,BLCA_BASAL,S100P,ENSG00000163993,high
SQUAMOUS,BLCA_BASAL,GATA3,ENSG00000107485,high
SQUAMOUS,BLCA_BASAL,FOXA1,ENSG00000129514,high
SQUAMOUS,ESCA,AGR2,ENSG00000106541,high
SQUAMOUS,ESCA,AGR3,ENSG00000173467,high
SQUAMOUS,ESCA,TFF1,ENSG00000160182,high
SQUAMOUS,ESCA,TFF3,ENSG00000160180,high
SQUAMOUS,ESCA,VSIG1,ENSG00000101842,high
SQUAMOUS,ESCA,MAL,ENSG00000172005,high
SQUAMOUS,ESCA,MUC22,ENSG00000261272,high
SQUAMOUS,ESCA,EVPL,ENSG00000167880,high
SQUAMOUS,HNSC,KLK10,ENSG00000129451,high
SQUAMOUS,HNSC,KLK11,ENSG00000167757,high
SQUAMOUS,HNSC,MUC21,ENSG00000204544,high
SQUAMOUS,HNSC,BPIFB1,ENSG00000125999,high
SQUAMOUS,HNSC,SPRR2A,ENSG00000241794,high
SQUAMOUS,HNSC,SPRR2B,ENSG00000196805,high
SQUAMOUS,LUSC,SOX2,ENSG00000181449,high
SQUAMOUS,LUSC,TP63,ENSG00000073282,high
SQUAMOUS,LUSC,SPRR2A,ENSG00000241794,high
SQUAMOUS,LUSC,NKX2-1,ENSG00000136352,low
SQUAMOUS,CESC,KRT4,ENSG00000170477,high
SQUAMOUS,CESC,KRT13,ENSG00000171401,high
SQUAMOUS,CESC,PAX8,ENSG00000125618,high
SQUAMOUS,CESC,MMP10,ENSG00000166670,high
GI_ADENO,COAD,CDX2,ENSG00000165556,high
GI_ADENO,COAD,CDH17,ENSG00000079112,high
GI_ADENO,COAD,GUCY2C,ENSG00000070019,high
GI_ADENO,COAD,CEACAM5,ENSG00000105388,high
GI_ADENO,COAD,CEACAM6,ENSG00000086548,high
GI_ADENO,COAD,VIL1,ENSG00000127831,high
GI_ADENO,READ,CDX2,ENSG00000165556,high
GI_ADENO,READ,CDH17,ENSG00000079112,high
GI_ADENO,READ,GUCY2C,ENSG00000070019,high
GI_ADENO,READ,CEACAM5,ENSG00000105388,high
GI_ADENO,READ,CEACAM6,ENSG00000086548,high
GI_ADENO,READ,VIL1,ENSG00000127831,high
GI_ADENO,STAD,MUC5AC,ENSG00000215182,high
GI_ADENO,STAD,MUC6,ENSG00000184956,high
GI_ADENO,STAD,CLDN18,ENSG00000066405,high
GI_ADENO,STAD,TFF1,ENSG00000160182,high
GI_ADENO,STAD,TFF2,ENSG00000160181,high
GI_ADENO,STAD,GKN1,ENSG00000169605,high
GI_ADENO,STAD,GKN2,ENSG00000183607,high
HEPATOBILIARY,LIHC,AFP,ENSG00000081051,high
HEPATOBILIARY,LIHC,ALB,ENSG00000163631,high
HEPATOBILIARY,LIHC,F2,ENSG00000180210,high
HEPATOBILIARY,LIHC,HNF4A,ENSG00000101076,high
HEPATOBILIARY,LIHC,HP,ENSG00000257017,high
HEPATOBILIARY,LIHC,APOB,ENSG00000084674,high
HEPATOBILIARY,LIHC,GC,ENSG00000145321,high
HEPATOBILIARY,LIHC,AHSG,ENSG00000145192,high
HEPATOBILIARY,CHOL,KRT19,ENSG00000171345,high
HEPATOBILIARY,CHOL,MUC1,ENSG00000185499,high
HEPATOBILIARY,CHOL,MUC5AC,ENSG00000215182,high
HEPATOBILIARY,CHOL,EPCAM,ENSG00000119888,high
HEPATOBILIARY,PAAD,KRT19,ENSG00000171345,high
HEPATOBILIARY,PAAD,MUC1,ENSG00000185499,high
HEPATOBILIARY,PAAD,CLDN18,ENSG00000066405,high
HEPATOBILIARY,PAAD,AGR2,ENSG00000106541,high
HEPATOBILIARY,PAAD,S100P,ENSG00000163993,high
HEPATOBILIARY,PAAD,PRSS1,ENSG00000204983,high
HEPATOBILIARY,PAAD,PNLIP,ENSG00000175535,high
HEPATOBILIARY,HEPB,AFP,ENSG00000081051,high
HEPATOBILIARY,HEPB,DLK1,ENSG00000185559,high
HEPATOBILIARY,HEPB,GPC3,ENSG00000147257,high
LUNG,LUAD,SFTPC,ENSG00000168484,high
LUNG,LUAD,SFTPB,ENSG00000168878,high
LUNG,LUAD,SFTPA1,ENSG00000122852,high
LUNG,LUAD,NKX2-1,ENSG00000136352,high
LUNG,LUAD,NAPSA,ENSG00000131400,high
LUNG,LUAD,SLC34A2,ENSG00000157765,high
LUNG,MESO,WT1,ENSG00000184937,high
LUNG,MESO,MSLN,ENSG00000102854,high
LUNG,MESO,CALB2,ENSG00000172137,high
LUNG,MESO,KRT5,ENSG00000186081,high
LUNG,MESO,KRT6A,ENSG00000205420,high
LUNG,MESO,PDPN,ENSG00000162493,high
LUNG,NET_LUNG,CHGA,ENSG00000100604,high
LUNG,NET_LUNG,SYP,ENSG00000102003,high
LUNG,NET_LUNG,INSM1,ENSG00000173404,high
LUNG,NET_LUNG,ASCL1,ENSG00000139352,high
LUNG,NEC_LUNG_LARGECELL,CHGA,ENSG00000100604,high
LUNG,NEC_LUNG_LARGECELL,SYP,ENSG00000102003,high
LUNG,NEC_LUNG_LARGECELL,INSM1,ENSG00000173404,high
LUNG,NEC_LUNG_LARGECELL,ASCL1,ENSG00000139352,high
LUNG,SCLC,CHGA,ENSG00000100604,high
LUNG,SCLC,SYP,ENSG00000102003,high
LUNG,SCLC,INSM1,ENSG00000173404,high
LUNG,SCLC,ASCL1,ENSG00000139352,high
ENDOCRINE,THCA,TG,ENSG00000042832,high
ENDOCRINE,THCA,TPO,ENSG00000115705,high
ENDOCRINE,THCA,TSHR,ENSG00000165409,high
ENDOCRINE,THCA,PAX8,ENSG00000125618,high
ENDOCRINE,MTC,CALCA,ENSG00000110680,high
ENDOCRINE,MTC,CEACAM5,ENSG00000105388,high
ENDOCRINE,MTC,CHGA,ENSG00000100604,high
ENDOCRINE,MTC,ASCL1,ENSG00000139352,high
ENDOCRINE,ACC,CYP11A1,ENSG00000140459,high
ENDOCRINE,ACC,STAR,ENSG00000147465,high
ENDOCRINE,ACC,MC2R,ENSG00000185231,high
ENDOCRINE,ACC,NR5A1,ENSG00000136931,high
ENDOCRINE,ACC,INHA,ENSG00000123999,high
ENDOCRINE,PCPG,TH,ENSG00000180176,high
ENDOCRINE,PCPG,DBH,ENSG00000123454,high
