cancer_code,median_tmb_mut_mb,n_samples,source,pmid_doi,confidence,notes,estimate_type,source_scope,missing_reason
ACC,1.0,,Chalmers 2017,PMID:28420421,low,Adrenocortical; panel-based; low. Metastatic ACC higher.,published_median,cancer_code_direct,
BLCA,7.1,,Lawrence 2013,PMID:23770567,high,WES median; APOBEC-driven long tail.,published_median,cancer_code_direct,
BRCA,1.2,,Lawrence 2013,PMID:23770567,high,WES median; higher in basal/HER2; MSI rare.,published_median,cancer_code_direct,
CESC,5.0,,Lawrence 2013,PMID:23770567,medium,Cervical squamous; APOBEC + HPV; wide range.,published_median,cancer_code_direct,
CHOL,2.0,,Chalmers 2017,PMID:28420421,medium,Cholangiocarcinoma; panel ~1.8-2.4.,published_median,cancer_code_direct,
COAD,3.1,,Lawrence 2013,PMID:23770567,high,Colon MSS median; MSI-H/POLE subset >40.,published_median,cancer_code_direct,
DLBC,3.3,,Lawrence 2013,PMID:23770567,high,DLBCL WES median.,published_median,cancer_code_direct,
ESCA,4.0,,Lawrence 2013,PMID:23770567,medium,ESCC vs EAC differ; range wide.,published_median,cancer_code_direct,
GBM,2.2,,Lawrence 2013,PMID:23770567,high,WES median; post-temozolomide/MMR-deficient subset hypermutates.,published_median,cancer_code_direct,
HNSC,3.9,,Lawrence 2013,PMID:23770567,high,WES median; HPV+ vs HPV- differ slightly.,published_median,cancer_code_direct,
KICH,0.7,,Chalmers 2017,PMID:28420421,low,Kidney chromophobe; very low; among lowest renal subtypes.,published_median,cancer_code_direct,
KIRC,1.9,,Lawrence 2013,PMID:23770567,high,Kidney clear cell WES median.,published_median,cancer_code_direct,
KIRP,1.3,,Chalmers 2017,PMID:28420421,low,Kidney papillary; panel approx ~1-1.5.,approximate_literature,cancer_code_direct,
LAML,0.4,,Lawrence 2013,PMID:23770567,high,AML WES median; among lowest of all cancers.,published_median,cancer_code_direct,
LGG,1.0,,Lawrence 2013,PMID:23770567,medium,IDH-mutant low; temozolomide recurrences hypermutate.,published_median,cancer_code_direct,
LIHC,4.0,,Chalmers 2017,PMID:28420421,medium,Liver HCC; panel/WES ~3-4.,published_median,cancer_code_direct,
LUAD,8.1,,Lawrence 2013,PMID:23770567,high,Lung adeno WES median; smoking-dependent (never-smokers far lower).,published_median,cancer_code_direct,
LUSC,9.9,,Lawrence 2013,PMID:23770567,high,Lung squamous WES median; smoking signature.,published_median,cancer_code_direct,
MESO,1.8,,Chalmers 2017,PMID:28420421,medium,Mesothelioma; low; panel ~1.1-2.,published_median,cancer_code_direct,
OV,1.7,,Lawrence 2013,PMID:23770567,high,Ovarian serous WES median; HRD/SCNA-driven not SNV.,published_median,cancer_code_direct,
PAAD,2.1,,Chalmers 2017,PMID:28420421,medium,Pancreatic adeno panel median ~2.0-2.4; MSI rare.,published_median,cancer_code_direct,
PCPG,0.5,,Chalmers 2017,PMID:28420421,low,Pheo/paraganglioma; very low; among lowest.,published_median,cancer_code_direct,
PRAD,0.7,,Lawrence 2013,PMID:23770567,high,Prostate adeno WES median; CDK12/MMR subset higher.,published_median,cancer_code_direct,
READ,3.1,,Lawrence 2013,PMID:23770567,medium,Treated as colorectal; MSI-H subset much higher.,published_median,cancer_code_direct,
SKCM,12.9,,Lawrence 2013,PMID:23770567,high,Cutaneous melanoma WES median; UV signature; highest common solid tumor.,published_median,cancer_code_direct,
STAD,5.0,,Chalmers 2017,PMID:28420421,medium,Stomach intestinal type; EBV+ / MSI-H subsets much higher.,published_median,cancer_code_direct,
TGCT,0.5,,Chalmers 2017,PMID:28420421,low,Testicular germ cell; very low SNV TMB; aneuploidy-driven.,published_median,cancer_code_direct,
THCA,0.4,,Chalmers 2017,PMID:28420421,high,Thyroid papillary; among lowest; single-driver BRAF/RAS.,published_median,cancer_code_direct,
THYM,0.5,,Chalmers 2017,PMID:28420421,low,Thymoma; very low; among lowest in TCGA.,published_median,cancer_code_direct,
UCEC,2.5,,Lawrence 2013,PMID:23770567,high,Endometrioid median; POLE-ultramutated and MSI-H subsets very high.,published_median,cancer_code_direct,
UCS,2.5,,Chalmers 2017,PMID:28420421,low,Uterine carcinosarcoma; approx; small cohorts.,approximate_literature,cancer_code_direct,
UVM,0.34,,Wu 2019,DOI:10.21037/atm.2019.09.49,high,Uveal melanoma; lowest median across TCGA; GNAQ/GNA11-driven no UV.,published_median,cancer_code_direct,
SARC_LMS,2.2,,TCGA-SARC 2017,DOI:10.1016/j.cell.2017.10.014,medium,Leiomyosarcoma; complex-karyotype STS; low SNV TMB.,published_median,cancer_code_direct,
SARC_DDLPS,1.5,,TCGA-SARC 2017,DOI:10.1016/j.cell.2017.10.014,medium,Dedifferentiated liposarcoma; MDM2/CDK4 amplicon-driven; low TMB.,published_median,cancer_code_direct,
SARC_UPS,2.2,,TCGA-SARC 2017,DOI:10.1016/j.cell.2017.10.014,medium,Undifferentiated pleomorphic sarcoma; among higher STS TMB.,published_median,cancer_code_direct,
SARC_MYXFIB,2.2,,TCGA-SARC 2017,DOI:10.1016/j.cell.2017.10.014,medium,Myxofibrosarcoma ~2 mut/Mb.,published_median,cancer_code_direct,
SARC_SYN,1.7,,TCGA-SARC 2017,DOI:10.1016/j.cell.2017.10.014,medium,Synovial sarcoma; lowest STS TMB; SS18-SSX fusion-driven simple karyotype.,published_median,cancer_code_direct,
SARC_MPNST,2.5,,Chalmers 2017,PMID:28420421,low,MPNST; panel ~2.5.,published_median,cancer_code_direct,
SARC_OS,1.2,,Grobner 2018,PMID:29489754,medium,Osteosarcoma pediatric WGS ~1.2; high SV/chromothripsis burden.,published_median,cancer_code_direct,
SARC_EWS,0.6,,Grobner 2018,PMID:29489754,high,Ewing sarcoma ~0.6; EWSR1-FLI1 fusion-driven; very few SNVs.,published_median,cancer_code_direct,
SARC_RMS_ERMS,0.8,,Grobner 2018,PMID:29489754,low,Embryonal RMS; low pediatric TMB; RAS-pathway; subtype median approximate.,approximate_literature,cancer_code_direct,
SARC_RMS_ARMS,0.4,,Grobner 2018,PMID:29489754,low,Alveolar RMS; PAX3/7-FOXO1 fusion-driven; very low SNV burden; approximate.,approximate_literature,cancer_code_direct,
SARC_CHON,0.9,,Wagner 2025,PMID:40117529,low,Chondrosarcoma; low TMB; IDH1/2-driven.,published_median,cancer_code_direct,
SARC_CHOR,0.53,,Tarpey 2017,PMID:29026114,medium,Chordoma skull-base WGS; brachyury-driven; rare MMR cases hypermutate.,published_median,cancer_code_direct,
NBL,0.6,,Grobner 2018,PMID:29489754,high,Neuroblastoma ~0.6; relapse higher.,published_median,cancer_code_direct,
WILMS,0.2,,Grobner 2018,PMID:29489754,low,Wilms tumor; very low pediatric TMB; per-entity median approximate.,approximate_literature,cancer_code_direct,
RT,0.1,,Lawrence 2013,PMID:23770567,medium,Rhabdoid tumor ~0.1; SMARCB1-driven near-silent genome.,published_median,cancer_code_direct,
ATRT,0.2,,Grobner 2018,PMID:29489754,medium,AT/RT; lowest-mutation pediatric brain tumor; SMARCB1/SMARCA4-driven.,published_median,cancer_code_direct,
MBL,0.3,,Lawrence 2013,PMID:23770567,high,Medulloblastoma ~0.3; rare germline-MMR/POLE hypermutant cases.,published_median,cancer_code_direct,
RB,0.085,,Davies 2021,PMID:33670346,medium,Retinoblastoma ~0.085 substitutions/Mb; RB1-loss driven near-silent.,published_median,cancer_code_direct,
HEPB,0.02,,Grobner 2018,PMID:29489754,medium,Hepatoblastoma; lowest pediatric TMB; CTNNB1-driven.,published_median,cancer_code_direct,
MM,1.6,,Lawrence 2013,PMID:23770567,high,Multiple myeloma WES median ~1.6; increases at relapse.,published_median,cancer_code_direct,
CLL,0.6,,Lawrence 2013,PMID:23770567,high,CLL WES median ~0.6; low.,published_median,cancer_code_direct,
MCL,1.0,,Bea 2013,PMID:24145436,medium,Mantle cell lymphoma WES ~1; approximate per-Mb.,approximate_literature,cancer_code_direct,
FL,1.35,,Okosun 2014,PMID:24362818,medium,WES-scale mean 1.35; high-TMB(>2.55) better PFS/OS.,published_median,cancer_code_direct,
HL,2.0,,Liang 2019,PMID:30108156,low,Hodgkin; panel TMB inflated vs WES; approximate.,approximate_literature,cancer_code_direct,
BL,2.0,,Love 2012,PMID:23143597,medium,Burkitt; AID/MYC-driven moderate burden; ~2 approximate WES.,approximate_literature,cancer_code_direct,
B_ALL,0.3,,Grobner 2018,PMID:29489754,low,B-ALL; very low pediatric TMB; CMMRD/relapse cases far higher.,published_median,cancer_code_direct,
T_ALL,0.5,,Grobner 2018,PMID:29489754,low,T-ALL; low; slightly higher than B-ALL; approximate.,approximate_literature,cancer_code_direct,
MDS,0.3,,MDS genomics review,PMID:24030381,medium,MDS ~9 somatic mutations/exome; rises with IPSS risk.,published_median,cancer_code_direct,
