representative_id,expected_code,baseline_prediction,resolution_track,expected_positive_markers,counter_lineage_markers,must_keep,required_outcome,source_issue,notes
BRCA_rep02,BRCA,SARC_EPITH,source_qc_and_panel,TRPS1;SCGB2A2;PIP,CD34;CDH5;ERG,True,lineage_correct,https://github.com/pirl-unc/pirlygenes/issues/266#issuecomment-4964643961,Require a mammary program and audit the mesenchymal-heavy source vector.
BRCA_Basal_rep02,BRCA_Basal,SARC_EPITH,source_qc_and_panel,TRPS1;SCGB2A2;SOX10,CD34;CDH5;ERG,True,lineage_correct,https://github.com/pirl-unc/pirlygenes/issues/266#issuecomment-4964643961,Require mammary-basal evidence rather than basal keratins alone.
BRCA_Basal_rep05,BRCA_Basal,SARC_OS,source_qc_and_panel,TRPS1;SCGB2A2;SOX10,ALPL;IBSP;RUNX2;SPP1,True,lineage_correct,https://github.com/pirl-unc/pirlygenes/issues/266#issuecomment-4964643961,Audit the osteoid-heavy source vector; do not override coherent osteoblast biology.
GBM_rep03,GBM,SARC_LPS_UNSPEC,panel,GFAP;OLIG2;AQP4,FABP4;PPARG;LPL,True,lineage_correct,https://github.com/pirl-unc/pirlygenes/issues/266#issuecomment-4964643961,Retain glial-positive evidence while guarding against an adipocytic attractor.
KICH_rep02,KICH,SARC_UPS,source_qc_and_panel,FOXI1;KIT;PVALB;EPCAM,EMP3;VIM;COL1A1,True,lineage_correct,https://github.com/pirl-unc/pirlygenes/issues/266#issuecomment-4964643961,Require a chromophobe-renal epithelial program and audit weak renal lineage signal.
NBL_rep03,NBL,MTC,panel_and_proxy_qc,PHOX2B;HAND2;DBH,CALCA;CALCB;CEACAM5,True,lineage_correct,https://github.com/pirl-unc/pirlygenes/issues/266#issuecomment-4964643961,Separate sympathetic noradrenergic identity from the MTC calcitonin program.
NBL_MYCNnonamp_rep02,NBL_MYCNnonamp,MTC,panel_and_proxy_qc,PHOX2B;HAND2;DBH,CALCA;CALCB;CEACAM5,True,lineage_correct,https://github.com/pirl-unc/pirlygenes/issues/266#issuecomment-4964643961,Keep the subtype label while using the same NBL-vs-MTC lineage evidence.
NET_MIDGUT_rep04,NET_MIDGUT,SARC_LMS,source_qc_and_panel,CDX2;TPH1;INSM1,ACTG2;MYH11;LMOD1;DES,True,lineage_correct,https://github.com/pirl-unc/pirlygenes/issues/266#issuecomment-4964643961;https://github.com/pirl-unc/pirlygenes/issues/326#issuecomment-4964643967,Counts-to-TPM/source-QC sentinel; keep the sample even while smooth-muscle signal dominates.
RB_rep03,RB,SARC_LPS_UNSPEC,source_qc_and_panel,CRX;RCVRN;RXRG,FABP4;PPARG;LPL,True,lineage_correct,https://github.com/pirl-unc/pirlygenes/issues/266#issuecomment-4964643961,Retinal-lineage sentinel paired with the separately tracked all-fail RB QC policy.
SARC_LPS_UNSPEC_rep02,SARC_LPS_UNSPEC,READ_MSS,source_qc_and_panel,FABP4;PPARG;LPL,SATB2;CDX2;CDH17;GUCY2C,True,lineage_correct,https://github.com/pirl-unc/pirlygenes/issues/266#issuecomment-4964643961,Audit the colorectal-epithelial source signal before changing the classifier.
SARC_SYN_rep02,SARC_SYN,LAML,source_qc_and_panel,TLE1;BCL2;KRT19,PTPRC;MPO;ELANE,True,lineage_correct,https://github.com/pirl-unc/pirlygenes/issues/266#issuecomment-4964643961,Require synovial-sarcoma evidence and audit the myeloid-heavy source vector.
STAD_GS_rep02,STAD_GS,BL,source_qc_and_panel,CLDN18;TFF1;GKN1,CD79A;MS4A1;PAX5,True,lineage_correct,https://github.com/pirl-unc/pirlygenes/issues/266#issuecomment-4964643961,Audit the B-cell-dominant source vector before applying gastric lineage rescue.
THYM_rep04,THYM,CTCL,mixture_aware_panel,FOXN1;PAX9;KRT19,PTPRC;CD3D;TRAC,True,lineage_correct,https://github.com/pirl-unc/pirlygenes/issues/266#issuecomment-4964643961,Score thymic epithelium within a T-cell-rich mixture; CD3 positivity alone must not exclude thymoma.
