Drug_Name,Target,Symbol_1,Ensembl_Gene_ID_1,Symbol_2,Ensembl_Gene_ID_2,Valency,Format,Company,Disease_Area,Clinical_Developmental_Phase
Runimotamab (RG-6194),Her2 × CD3,Symbol_1,Ensembl_Gene_ID_1,Symbol_2,Ensembl_Gene_ID_2,1 + 1,Hetero Fab-Fc,Roch,Cancer (breast),I
M-02,Her2 × CD3,Symbol_1,Ensembl_Gene_ID_1,Symbol_2,Ensembl_Gene_ID_2,1 + 1,Hetero Fab-Fc × scFv-Fc,Wuhan YZY Biopharma,"Cancer (breast, gastrointestinal, stomach, ovarian)",I
SAR-446309 (AMX-818),Her2 × CD3,Symbol_1,Ensembl_Gene_ID_1,Symbol_2,Ensembl_Gene_ID_2,1 + 1,Tandem scFV (XPAT),Sanofi/Amunix,Cancer (solid),I
SAR-443216,Her2 × CD28 × CD3,Symbol_1,Ensembl_Gene_ID_1,Symbol_2,Ensembl_Gene_ID_2,1 + 1 + 1,Tandem domain-exchanged Fv × Fab-Fc (CODV-Ig),Sanofi,"Cancer (gastrointestinal, stomach)",I
EX-101,Her2 × CD3,Symbol_1,Ensembl_Gene_ID_1,Symbol_2,Ensembl_Gene_ID_2,1 + 1,Hetero Fab-Fc (ExMab),Excelmab,"Cancer (breast, gastrointestinal, stomach)",I
BC-004,Her2 × CD3,Symbol_1,Ensembl_Gene_ID_1,Symbol_2,Ensembl_Gene_ID_2,Undisclosed,Undisclosed,Buchang Shenzhou Pharmaceutical,Cancer (solid),I
BI-764532 (OBT-620),DLL3 × CD3,Symbol_1,Ensembl_Gene_ID_1,Symbol_2,Ensembl_Gene_ID_2,1 + 1,Hetero scFab-Fc,Boehringer Ingelheim/ Oxford BioTherapeutics,"Cancer (SCLC, Neuroendocrine)",II
HPN-328,DLL3 × CD3,Symbol_1,Ensembl_Gene_ID_1,Symbol_2,Ensembl_Gene_ID_2,1 + 1,Tandem sdAb-sdAb-scFv (TriTAC),Harpoon Therapeutics,"Cancer (SCLC, Neuroendocrine)",II
ZG-006,DLL3 × CD3,Symbol_1,Ensembl_Gene_ID_1,Symbol_2,Ensembl_Gene_ID_2,2 + 1,Tandem scFv-Fc × Fab-Fc,Suzhou Zelgen Biopharmaceuticals,"Cancer (SCLC, Neuroendocrine)",II
RG-6524,DLL3 × 4-1BB × CD3,Symbol_1,Ensembl_Gene_ID_1,Symbol_2,Ensembl_Gene_ID_2,1 + 2,Tandem scFab-Fc × Fab-Fc (Dual/LINC-Ig),Roche,"Cancer (SCLC, Neuroendocrine, solid)",I
QLS-31904,DLL3 × CD3,Symbol_1,Ensembl_Gene_ID_1,Symbol_2,Ensembl_Gene_ID_2,1 + 1,Tandem Fab-scFv,Qilu Pharmaceutical,Cancer (solid),I
