Drug_Name,Target_Description,Tumor_Target_Symbols,Tumor_Target_Ensembl_Gene_IDs,Tcell_Target_Symols,Tcell_Target_Ensembl_Gene_IDs,Other_Symbols,Other_Ensembl_Gene_IDs,Valency,Format,Company,Disease_Area,Approvals
Amivantamab,EGFR × MET,EGFR,ENSG00000146648,MET,ENSG00000105976,,,1 + 1,Hetero Fab-Fc (Duobody),Johnson & Johnson /Genmab,Cancer (NSCLC EGFR exon 20 insert mutation),FDA 2021
Emicizumab,Factor IX × Factor X,,,,,F9;F10,ENSG00000101981;ENSG00000126218,1 + 1,Hetero Fab-Fc,Roche,Hemophilia A,FDA 2017
Faricimab,Ang-2 × VEGF,ANGPT2;VEGFA,ENSG00000091879;ENSG00000112715,,,,,1 + 1,Hetero Fab-Fc,Roche,"Wet, or neovascular, AMD and DME",FDA 2022
Tebentafusp,GP100 × CD3,PMEL,ENSG00000185664,CD3E,ENSG00000198851,,,1 + 1,Tandem mTCR-scFv (ImmTAC),Immunocore,Cancer (melanoma),FDA 2022
Cadonilimab,PD-1 × CTLA-4,,,CTLA4;PDCD1,ENSG00000163599;ENSG00000188389,,,2 + 2,IgG-[H]-scFv,Akeso Bio,Cancer (Hepatocellular Carcinoma),NMPA 2022
Blinatumomab,CD19 × CD3,CD19,ENSG00000177455,CD3E,ENSG00000198851,,,1 + 1,Tandem scFv,Amgen,Cancer (R/R pre-B ALL),FDA 2014;EMA 2015
Mosunetuzumab,CD20 × CD3,MS4A1,ENSG00000156738,CD3E,ENSG00000198851,,,1 + 1,Hetero Fab-Fc,Roche,Cancer (R/R FL),FDA 2022;EMA 2022
Teclistamab,BCMA × CD3,TNFRSF17,ENSG00000048462,CD3E,ENSG00000198851,,,1 + 1,Hetero Fab-Fc (Duobody),Johnson & Johnson /Genmab,Cancer (R/R MM),FDA 2022;EMA 2022
Epcoritamab,CD20 × CD3,MS4A1,ENSG00000156738,CD3E,ENSG00000198851,,,1 + 1,Hetero Fab-Fc (Duobody),AbbVie/Benmab,Cancer (R/R DLBCL),FDA 2023
Glofitamab,CD20 × CD3,MS4A1,ENSG00000156738,CD3E,ENSG00000198851,,,2 + 1,Tandem scFab-Fc × Fab-Fc,Roche,"Cancer (R/R DLBCL, LBCL)",FDA 2023
Elranatamab,BCMA × CD3,TNFRSF17,ENSG00000048462,CD3E,ENSG00000198851,,,1 + 1,Hetero Fab-Fc,Pfizer,Cancer (R/R MM),FDA 2023
Talquetamab,GPRC5D × CD3,GPRC5D,ENSG00000111291,CD3E,ENSG00000198851,,,1 + 1,Hetero Fab-Fc (Duobody),Johnson & Johnson /Genmab,Cancer (R/R MM),FDA 2023
Tarlatamab,DLL3 × CD3,DLL3,ENSG00000090932,CD3E,ENSG00000198851,,,1 + 1,Tandem scFv-scFc (HLE-BiTE),Amgen,Cancer (ES-SCLC),FDA 2023
Ivonescimab,PD-1 × VEGF,VEGFA,ENSG00000112715,PDCD1,ENSG00000188389,,,2 + 2,IgG-[H]-scFv,Akeso Bio,Cancer (NSQ-NSCLC),FDA 2024
