Compartment,display_name,Symbol,Ensembl_Gene_ID,role,source,reference
EPITHELIAL,Epithelial / carcinoma,EPCAM,ENSG00000119888,confirmatory,tumor,PMID:29625048
EPITHELIAL,Epithelial / carcinoma,KRT8,ENSG00000170421,confirmatory,tumor,PMID:29625048
EPITHELIAL,Epithelial / carcinoma,KRT18,ENSG00000111057,confirmatory,tumor,PMID:29625048
EPITHELIAL,Epithelial / carcinoma,KRT19,ENSG00000171345,confirmatory,tumor,PMID:29625048
EPITHELIAL,Epithelial / carcinoma,CDH1,ENSG00000039068,confirmatory,tumor,PMID:29625048
EPITHELIAL,Epithelial / carcinoma,KRT7,ENSG00000135480,confirmatory,tumor,PMID:29625048
EPITHELIAL,Epithelial / carcinoma,ELF3,ENSG00000163435,confirmatory,tumor,PMID:29625048
MESENCHYMAL,Mesenchymal / sarcoma,VIM,ENSG00000026025,confirmatory,stroma,PMID:29625048
MESENCHYMAL,Mesenchymal / sarcoma,COL1A1,ENSG00000108821,confirmatory,stroma,PMID:29625048
MESENCHYMAL,Mesenchymal / sarcoma,COL1A2,ENSG00000164692,confirmatory,stroma,PMID:29625048
MESENCHYMAL,Mesenchymal / sarcoma,COL3A1,ENSG00000168542,confirmatory,stroma,PMID:29625048
MESENCHYMAL,Mesenchymal / sarcoma,PDGFRB,ENSG00000113721,confirmatory,stroma,PMID:29625048
HEMATOLYMPHOID,Hematolymphoid,PTPRC,ENSG00000081237,confirmatory,immune,PMID:31857451
HEMATOLYMPHOID,Hematolymphoid,CD3D,ENSG00000167286,confirmatory,immune,PMID:31857451
HEMATOLYMPHOID,Hematolymphoid,CD3E,ENSG00000198851,confirmatory,immune,PMID:31857451
HEMATOLYMPHOID,Hematolymphoid,MS4A1,ENSG00000156738,confirmatory,immune,PMID:31857451
HEMATOLYMPHOID,Hematolymphoid,CD79A,ENSG00000105369,confirmatory,immune,PMID:31857451
HEMATOLYMPHOID,Hematolymphoid,CD79B,ENSG00000007312,confirmatory,immune,PMID:31857451
HEMATOLYMPHOID,Hematolymphoid,MZB1,ENSG00000170476,confirmatory,immune,PMID:31857451
HEMATOLYMPHOID,Hematolymphoid,LYZ,ENSG00000090382,confirmatory,immune,PMID:31857451
MELANOCYTIC,Melanocytic / melanoma,MLANA,ENSG00000120215,confirmatory,tumor,PMID:26091043
MELANOCYTIC,Melanocytic / melanoma,PMEL,ENSG00000185664,confirmatory,tumor,PMID:26091043
MELANOCYTIC,Melanocytic / melanoma,TYR,ENSG00000077498,confirmatory,tumor,PMID:26091043
MELANOCYTIC,Melanocytic / melanoma,DCT,ENSG00000080166,confirmatory,tumor,PMID:26091043
MELANOCYTIC,Melanocytic / melanoma,TYRP1,ENSG00000107165,confirmatory,tumor,PMID:26091043
MELANOCYTIC,Melanocytic / melanoma,MITF,ENSG00000187098,confirmatory,tumor,PMID:26091043
MELANOCYTIC,Melanocytic / melanoma,SOX10,ENSG00000100146,confirmatory,tumor,PMID:26091043
NEURAL_GLIAL,Neural / glial (CNS),GFAP,ENSG00000131095,confirmatory,tumor,PMID:18171944
NEURAL_GLIAL,Neural / glial (CNS),OLIG2,ENSG00000205927,confirmatory,tumor,PMID:18171944
NEURAL_GLIAL,Neural / glial (CNS),S100B,ENSG00000160307,confirmatory,tumor,PMID:18171944
NEURAL_GLIAL,Neural / glial (CNS),SOX2,ENSG00000181449,confirmatory,tumor,PMID:18171944
NEURAL_GLIAL,Neural / glial (CNS),OLIG1,ENSG00000184221,confirmatory,tumor,PMID:18171944
NEURAL_GLIAL,Neural / glial (CNS),GLI3,ENSG00000106571,confirmatory,tumor,PMID:18171944
GERM_CELL,Germ cell,POU5F1,ENSG00000204531,confirmatory,tumor,PMID:25613900
GERM_CELL,Germ cell,NANOG,ENSG00000111704,confirmatory,tumor,PMID:25613900
GERM_CELL,Germ cell,SALL4,ENSG00000101115,confirmatory,tumor,PMID:25613900
GERM_CELL,Germ cell,LIN28A,ENSG00000131914,confirmatory,tumor,PMID:25613900
GERM_CELL,Germ cell,KIT,ENSG00000157404,confirmatory,tumor,PMID:25613900
GERM_CELL,Germ cell,DPPA4,ENSG00000121570,confirmatory,tumor,PMID:25613900
NEUROENDOCRINE,Neuroendocrine,CHGA,ENSG00000100604,confirmatory,tumor,PMID:26168399
NEUROENDOCRINE,Neuroendocrine,CHGB,ENSG00000089199,confirmatory,tumor,PMID:26168399
NEUROENDOCRINE,Neuroendocrine,SYP,ENSG00000102003,confirmatory,tumor,PMID:26168399
NEUROENDOCRINE,Neuroendocrine,INSM1,ENSG00000173404,confirmatory,tumor,PMID:26168399
NEUROENDOCRINE,Neuroendocrine,NCAM1,ENSG00000149294,confirmatory,tumor,PMID:26168399
NEUROENDOCRINE,Neuroendocrine,ASCL1,ENSG00000139352,confirmatory,tumor,PMID:26168399
