Symbol,Ensembl_Gene_ID,Category
TAP1,ENSG00000168394,MHC1_presentation
TAP2,ENSG00000204267,MHC1_presentation
ERAP1,ENSG00000164307,MHC1_presentation
ERAP2,ENSG00000164308,MHC1_presentation
TAPBP,ENSG00000231925,MHC1_presentation
CALR,ENSG00000179218,MHC1_presentation
PDIA3,ENSG00000167004,MHC1_presentation
CANX,ENSG00000127022,MHC1_presentation
HLA-A,ENSG00000206503,MHC1_presentation
HLA-B,ENSG00000234745,MHC1_presentation
HLA-C,ENSG00000204525,MHC1_presentation
B2M,ENSG00000166710,MHC1_presentation
HLA-E,ENSG00000204592,MHC1_presentation
TLR1,ENSG00000174125,TLR
TLR2,ENSG00000137462,TLR
TLR3,ENSG00000164342,TLR
TLR4,ENSG00000136869,TLR
TLR5,ENSG00000187554,TLR
TLR6,ENSG00000174130,TLR
TLR7,ENSG00000196664,TLR
TLR8,ENSG00000101916,TLR
TLR9,ENSG00000239732,TLR
TLR10,ENSG00000174123,TLR
IRAK1,ENSG00000184216,TLR
IRAK2,ENSG00000134070,TLR
IRAK4,ENSG00000198001,TLR
MYD88,ENSG00000172936,TLR
TRAF6,ENSG00000175104,TLR
IRAK3,ENSG00000090376,TLR
EGFR,ENSG00000146648,Growth_receptors
ERBB2,ENSG00000141736,Growth_receptors
ERBB3,ENSG00000065361,Growth_receptors
ERBB4,ENSG00000178568,Growth_receptors
FLT1,ENSG00000102755,Growth_receptors
KDR,ENSG00000128052,Growth_receptors
FLT4,ENSG00000037280,Growth_receptors
FGFR1,ENSG00000077782,Growth_receptors
FGFR2,ENSG00000066468,Growth_receptors
FGFR3,ENSG00000068078,Growth_receptors
PDGFRA,ENSG00000134853,Growth_receptors
PDGFRB,ENSG00000113721,Growth_receptors
TGFBR1,ENSG00000106799,Growth_receptors
TGFBR2,ENSG00000163513,Growth_receptors
MYC,ENSG00000136997,Oncogenes
YAP1,ENSG00000137693,Oncogenes
WWTR1,ENSG00000018408,Oncogenes
MYCL,ENSG00000116990,Oncogenes
MYCN,ENSG00000134323,Oncogenes
BTK,ENSG00000010671,Oncogenes
SYK,ENSG00000165025,Oncogenes
SRC,ENSG00000197122,Oncogenes
ALK,ENSG00000171094,Oncogenes
KRAS,ENSG00000133703,Oncogenes
HRAS,ENSG00000174775,Oncogenes
NRAS,ENSG00000213281,Oncogenes
MDM2,ENSG00000135679,Oncogenes
CDK4,ENSG00000135446,Oncogenes
CDK6,ENSG00000105810,Oncogenes
CDK9,ENSG00000136807,Oncogenes
RET,ENSG00000165731,Oncogenes
CD274,ENSG00000120217,Immune_checkpoints
PDCD1LG2,ENSG00000197646,Immune_checkpoints
CTLA4,ENSG00000163599,Immune_checkpoints
PDCD1,ENSG00000188389,Immune_checkpoints
TNFRSF4,ENSG00000186827,Immune_checkpoints
TNFRSF18,ENSG00000186891,Immune_checkpoints
TNFSF4,ENSG00000117586,Immune_checkpoints
ICOS,ENSG00000163600,Immune_checkpoints
ADORA2A,ENSG00000128271,Immune_checkpoints
ADORA2B,ENSG00000170425,Immune_checkpoints
BTLA,ENSG00000186265,Immune_checkpoints
IDO1,ENSG00000131203,Immune_checkpoints
LAG3,ENSG00000089692,Immune_checkpoints
HAVCR2,ENSG00000135077,Immune_checkpoints
VSIR,ENSG00000107738,Immune_checkpoints
SIGLEC7,ENSG00000168995,Immune_checkpoints
PTEN,ENSG00000171862,Tumor_suppressors
RB1,ENSG00000139687,Tumor_suppressors
TP53,ENSG00000141510,Tumor_suppressors
CDKN2A,ENSG00000147889,Tumor_suppressors
APC,ENSG00000134982,Tumor_suppressors
STK11,ENSG00000118046,Tumor_suppressors
NF1,ENSG00000196712,Tumor_suppressors
SMAD4,ENSG00000141646,Tumor_suppressors
VHL,ENSG00000134086,Tumor_suppressors
TSC1,ENSG00000165699,Tumor_suppressors
TSC2,ENSG00000103197,Tumor_suppressors
CDH1,ENSG00000039068,Tumor_suppressors
BAP1,ENSG00000163930,Tumor_suppressors
BRCA1,ENSG00000012048,DNA_repair
BRCA2,ENSG00000139618,DNA_repair
ATM,ENSG00000149311,DNA_repair
CHEK2,ENSG00000183765,DNA_repair
PALB2,ENSG00000083093,DNA_repair
RAD51,ENSG00000051180,DNA_repair
CDK12,ENSG00000167258,DNA_repair
ATR,ENSG00000175054,DNA_repair
CHEK1,ENSG00000149554,DNA_repair
BRIP1,ENSG00000136492,DNA_repair
BARD1,ENSG00000138376,DNA_repair
FANCA,ENSG00000187741,DNA_repair
FANCD2,ENSG00000144554,DNA_repair
RAD50,ENSG00000113522,DNA_repair
MSH2,ENSG00000095002,DNA_repair
MSH6,ENSG00000116062,DNA_repair
MLH1,ENSG00000076242,DNA_repair
PMS2,ENSG00000122512,DNA_repair
NBN,ENSG00000104320,DNA_repair
PSMB8,ENSG00000204264,MHC1_presentation
PSMB9,ENSG00000240065,MHC1_presentation
PSMB10,ENSG00000205220,MHC1_presentation
TAPBPL,ENSG00000139192,MHC1_presentation
NLRC5,ENSG00000140853,MHC1_presentation
IRF1,ENSG00000125347,Interferon_response
IFNGR1,ENSG00000027697,Interferon_response
IFNGR2,ENSG00000159128,Interferon_response
STAT1,ENSG00000115415,Interferon_response
STAT2,ENSG00000170581,Interferon_response
STAT3,ENSG00000168610,Interferon_response
JAK1,ENSG00000162434,Interferon_response
JAK2,ENSG00000096968,Interferon_response
SOCS1,ENSG00000185338,Interferon_response
SOCS3,ENSG00000184557,Interferon_response
FAS,ENSG00000026103,Interferon_response
IFNAR1,ENSG00000142166,Interferon_response
IFNAR2,ENSG00000159110,Interferon_response
