group_canonical_ensembl_gene_id,group_canonical_symbol,ensembl_gene_id,symbol,protein_aa,n_members
ENSG00000271383,NBPF19,ENSG00000271383,NBPF19,3843,2
ENSG00000271383,NBPF19,ENSG00000286185,,3843,2
ENSG00000092098,RNF31,ENSG00000092098,RNF31,1072,2
ENSG00000092098,RNF31,ENSG00000259529,,1072,2
ENSG00000197991,PCDH20,ENSG00000197991,,951,2
ENSG00000197991,PCDH20,ENSG00000280165,PCDH20,951,2
ENSG00000214338,MTCL3,ENSG00000214338,MTCL3,947,2
ENSG00000214338,MTCL3,ENSG00000255330,,947,2
ENSG00000163611,SPICE1/SPICE1-CFAP44,ENSG00000163611,SPICE1,855,2
ENSG00000163611,SPICE1/SPICE1-CFAP44,ENSG00000285943,SPICE1-CFAP44,855,2
ENSG00000183833,CFAP91,ENSG00000183833,CFAP91,767,2
ENSG00000183833,CFAP91,ENSG00000285585,,767,2
ENSG00000154545,MAGED4/MAGED4B,ENSG00000154545,MAGED4,757,2
ENSG00000154545,MAGED4/MAGED4B,ENSG00000187243,MAGED4B,757,2
ENSG00000105647,PIK3R2,ENSG00000105647,PIK3R2,728,2
ENSG00000105647,PIK3R2,ENSG00000268173,,728,2
ENSG00000105650,PDE4C,ENSG00000105650,PDE4C,712,2
ENSG00000105650,PDE4C,ENSG00000285188,PDE4C,712,2
ENSG00000197976,AKAP17A,ENSG00000197976,AKAP17A,695,2
ENSG00000197976,AKAP17A,ENSG00000292343,AKAP17A,695,2
ENSG00000214717,ZBED1,ENSG00000214717,ZBED1,694,2
ENSG00000214717,ZBED1,ENSG00000292345,ZBED1,694,2
ENSG00000196826,ZNF709,ENSG00000196826,,641,2
ENSG00000196826,ZNF709,ENSG00000242852,ZNF709,641,2
ENSG00000204388,HSPA1A/B,ENSG00000204388,HSPA1B,641,2
ENSG00000204388,HSPA1A/B,ENSG00000204389,HSPA1A,641,2
ENSG00000269405,NXF2/NXF2B,ENSG00000269405,NXF2,626,2
ENSG00000269405,NXF2/NXF2B,ENSG00000269437,NXF2B,626,2
ENSG00000213204,CFAP206,ENSG00000213204,,622,2
ENSG00000213204,CFAP206,ENSG00000272514,CFAP206,622,2
ENSG00000169093,ASMTL,ENSG00000169093,ASMTL,621,2
ENSG00000169093,ASMTL,ENSG00000292339,ASMTL,621,2
ENSG00000100890,PRORP,ENSG00000100890,PRORP,583,2
ENSG00000100890,PRORP,ENSG00000258790,,583,2
ENSG00000167393,PPP2R3B,ENSG00000167393,PPP2R3B,575,2
ENSG00000167393,PPP2R3B,ENSG00000292327,PPP2R3B,575,2
ENSG00000172288,CDY1/CDY1B,ENSG00000172288,CDY1,554,2
ENSG00000172288,CDY1/CDY1B,ENSG00000172352,CDY1B,554,2
ENSG00000274611,TBC1D3/TBC1D3C,ENSG00000274611,TBC1D3,549,2
ENSG00000274611,TBC1D3/TBC1D3C,ENSG00000278299,TBC1D3C,549,2
ENSG00000198908,ARMCX5-GPRASP2/GPRASP3,ENSG00000198908,GPRASP3,547,2
ENSG00000198908,ARMCX5-GPRASP2/GPRASP3,ENSG00000286237,ARMCX5-GPRASP2,547,2
ENSG00000230031,POTEB/POTEB2,ENSG00000230031,POTEB2,544,2
ENSG00000230031,POTEB/POTEB2,ENSG00000233917,POTEB,544,2
ENSG00000129873,CDY2A/B,ENSG00000129873,CDY2B,541,2
ENSG00000129873,CDY2A/B,ENSG00000182415,CDY2A,541,2
ENSG00000228856,USP17L24/25/26/27/28/29/30,ENSG00000228856,USP17L30,530,7
ENSG00000228856,USP17L24/25/26/27/28/29/30,ENSG00000229579,USP17L26,530,7
ENSG00000228856,USP17L24/25/26/27/28/29/30,ENSG00000230430,USP17L25,530,7
ENSG00000228856,USP17L24/25/26/27/28/29/30,ENSG00000231051,USP17L28,530,7
ENSG00000228856,USP17L24/25/26/27/28/29/30,ENSG00000231637,USP17L29,530,7
ENSG00000228856,USP17L24/25/26/27/28/29/30,ENSG00000232264,USP17L24,530,7
ENSG00000228856,USP17L24/25/26/27/28/29/30,ENSG00000235780,USP17L27,530,7
ENSG00000124334,IL9R,ENSG00000124334,IL9R,521,2
ENSG00000124334,IL9R,ENSG00000292373,IL9R,521,2
ENSG00000187607,ZNF286A/ZNF286A-TBC1D26,ENSG00000187607,ZNF286A,521,2
ENSG00000187607,ZNF286A/ZNF286A-TBC1D26,ENSG00000255104,ZNF286A-TBC1D26,521,2
ENSG00000178605,GTPBP6,ENSG00000178605,GTPBP6,516,2
ENSG00000178605,GTPBP6,ENSG00000292358,GTPBP6,516,2
ENSG00000215113,CXorf49/CXorf49B,ENSG00000215113,CXorf49B,514,2
ENSG00000215113,CXorf49/CXorf49B,ENSG00000215115,CXorf49,514,2
ENSG00000174876,AMY1A/B/C,ENSG00000174876,AMY1B,511,3
ENSG00000174876,AMY1A/B/C,ENSG00000187733,AMY1C,511,3
ENSG00000174876,AMY1A/B/C,ENSG00000237763,AMY1A,511,3
