gene_id,hpa_gene_name,cancer,high,medium,low,not_detected,total,detected,medium_high,prevalence_detected,prevalence_medium_high,measurement_status,symbol
ENSG00000137270,GCM1,breast cancer,0,0,0,12,12,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,carcinoid,0,0,0,4,4,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,cervical cancer,0,0,0,12,12,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,colorectal cancer,0,0,0,12,12,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,endometrial cancer,0,0,0,11,11,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,glioma,0,0,0,11,11,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,head and neck cancer,0,0,0,4,4,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,liver cancer,0,0,0,12,12,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,lung cancer,0,0,0,12,12,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,lymphoma,0,2,5,5,12,7,2,0.5833333333333334,0.16666666666666666,measured,GCM1
ENSG00000137270,GCM1,melanoma,0,0,0,12,12,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,ovarian cancer,0,0,0,11,11,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,pancreatic cancer,0,0,0,12,12,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,prostate cancer,0,0,0,11,11,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,renal cancer,0,0,0,12,12,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,skin cancer,0,0,0,11,11,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,stomach cancer,0,0,0,12,12,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,testis cancer,0,0,0,11,11,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,thyroid cancer,0,0,0,4,4,0,0,0.0,0.0,measured,GCM1
ENSG00000137270,GCM1,urothelial cancer,0,0,0,12,12,0,0,0.0,0.0,measured,GCM1
ENSG00000137869,CYP19A1,breast cancer,0,0,0,12,12,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,carcinoid,0,0,0,4,4,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,cervical cancer,0,0,0,12,12,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,colorectal cancer,0,0,0,11,11,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,endometrial cancer,0,0,0,12,12,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,glioma,0,0,0,12,12,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,head and neck cancer,0,0,0,4,4,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,liver cancer,0,0,0,12,12,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,lung cancer,0,0,0,12,12,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,lymphoma,0,0,0,12,12,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,melanoma,0,0,0,10,10,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,ovarian cancer,0,0,0,11,11,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,pancreatic cancer,0,0,0,12,12,0,0,0.0,0.0,measured,CYP19A1
ENSG00000137869,CYP19A1,prostate cancer,0,0,0,12,12,0,0,0.0,0.0,measured,CYP19A1
