gene_id,cancer,hpa_gene_name,high,medium,low,not_detected,total,detected,medium_high,prevalence_detected,prevalence_medium_high,measurement_status,rna_codes,mapping_status,note,rna_samples,rna_positive_samples,rna_sum_ptpm,rna_available_types,rna_required_types,comparison_status,rna_mean_ptpm,rna_prevalence,cohort,threshold_ptpm,cohorts_paired,symbol
ENSG00000137270,breast cancer,GCM1,0,0,0,12,12,0,0,0.0,0.0,measured,BRCA,single,Anatomical correspondence; histology and patient composition may differ between unpaired cohorts.,1022.0,72.0,514.627,1,1,comparable,0.5035489236790606,0.07045009784735812,TCGA,1.0,False,GCM1
ENSG00000137270,carcinoid,GCM1,0,0,0,4,4,0,0,0.0,0.0,measured,,unmatched,No corresponding HPA cancer RNA cohort; missing is not negative.,,,,0,0,unmatched,,,TCGA,1.0,False,GCM1
ENSG00000137270,cervical cancer,GCM1,0,0,0,12,12,0,0,0.0,0.0,measured,CESC,single,Anatomical correspondence; histology and patient composition may differ between unpaired cohorts.,283.0,33.0,115.9933,1,1,comparable,0.40987031802120144,0.1166077738515901,TCGA,1.0,False,GCM1
ENSG00000137270,colorectal cancer,GCM1,0,0,0,12,12,0,0,0.0,0.0,measured,COAD|READ,pooled,Require all listed RNA types; pool counts and pTPM sums by measured samples. Histology composition may differ from IHC.,342.0,4.0,62.6239,2,2,comparable,0.18311081871345028,0.011695906432748537,TCGA,1.0,False,GCM1
ENSG00000137270,endometrial cancer,GCM1,0,0,0,11,11,0,0,0.0,0.0,measured,UCEC,single,Anatomical correspondence; histology and patient composition may differ between unpaired cohorts.,176.0,9.0,90.2311,1,1,comparable,0.5126767045454546,0.05113636363636364,TCGA,1.0,False,GCM1
ENSG00000137270,glioma,GCM1,0,0,0,11,11,0,0,0.0,0.0,measured,GBM,scope_mismatch,IHC glioma is broader than GBM-only RNA; do not compute a matched-group comparison.,,,,0,1,scope_mismatch,,,TCGA,1.0,False,GCM1
ENSG00000137270,head and neck cancer,GCM1,0,0,0,4,4,0,0,0.0,0.0,measured,HNSC,single,Anatomical correspondence; histology and patient composition may differ between unpaired cohorts.,492.0,0.0,53.8448,1,1,comparable,0.10944065040650407,0.0,TCGA,1.0,False,GCM1
ENSG00000137270,liver cancer,GCM1,0,0,0,12,12,0,0,0.0,0.0,measured,LIHC,single,Anatomical correspondence; histology and patient composition may differ between unpaired cohorts.,362.0,6.0,47.9629,1,1,comparable,0.13249419889502762,0.016574585635359115,TCGA,1.0,False,GCM1
ENSG00000137270,lung cancer,GCM1,0,0,0,12,12,0,0,0.0,0.0,measured,LUAD|LUSC,pooled,Require all listed RNA types; pool counts and pTPM sums by measured samples. Histology composition may differ from IHC.,986.0,27.0,268.2899,2,2,comparable,0.27209929006085193,0.02738336713995943,TCGA,1.0,False,GCM1
ENSG00000137270,lymphoma,GCM1,0,2,5,5,12,7,2,0.5833333333333334,0.16666666666666666,measured,,unmatched,No corresponding HPA cancer RNA cohort; missing is not negative.,,,,0,0,unmatched,,,TCGA,1.0,False,GCM1
ENSG00000137270,melanoma,GCM1,0,0,0,12,12,0,0,0.0,0.0,measured,SKCM,single,Anatomical correspondence; histology and patient composition may differ between unpaired cohorts.,99.0,5.0,15.8946,1,1,comparable,0.16055151515151517,0.050505050505050504,TCGA,1.0,False,GCM1
ENSG00000137270,ovarian cancer,GCM1,0,0,0,11,11,0,0,0.0,0.0,measured,OV,single,Anatomical correspondence; histology and patient composition may differ between unpaired cohorts.,349.0,2.0,63.0325,1,1,comparable,0.18060888252148996,0.0057306590257879654,TCGA,1.0,False,GCM1
ENSG00000137270,pancreatic cancer,GCM1,0,0,0,12,12,0,0,0.0,0.0,measured,PAAD,single,Anatomical correspondence; histology and patient composition may differ between unpaired cohorts.,176.0,1.0,30.951,1,1,comparable,0.17585795454545455,0.005681818181818182,TCGA,1.0,False,GCM1
ENSG00000137270,prostate cancer,GCM1,0,0,0,11,11,0,0,0.0,0.0,measured,PRAD,single,Anatomical correspondence; histology and patient composition may differ between unpaired cohorts.,480.0,0.0,73.3159,1,1,comparable,0.15274145833333333,0.0,TCGA,1.0,False,GCM1
ENSG00000137270,renal cancer,GCM1,0,0,0,12,12,0,0,0.0,0.0,measured,KICH|KIRC|KIRP,pooled,Require all listed RNA types; pool counts and pTPM sums by measured samples. Histology composition may differ from IHC.,867.0,137.0,575.7455,3,3,comparable,0.6640663206459054,0.1580161476355248,TCGA,1.0,False,GCM1
